iter	Passed	Remaining
0	77	77790
1	87	43787
2	122	40762
3	150	37431
4	187	37278
5	205	33998
6	216	30676
7	236	29278
8	254	28053
9	276	27367
10	296	26638
11	307	25300
12	330	25078
13	361	25448
14	376	24697
15	383	23595
16	406	2317	317	421	2318	429	22162
19	474	23257
20	505	23564
21	521	557	2422	522	598	2523	623	640	2624	670	26149
25	713	26732
26	766	27634
27	799	27742
28	821	27517
29	879	28438
30	917	28690
31	935	28301
32	969	28414
33	1007	28617
34	1061	29257
35	1106	29622
36	1158	30155
37	1190	30139
38	1228	30262
39	1248	29974
40	1278	29908
41	1308	29853
42	1336	29737
43	1359	29546
44	1382	29335
45	1402	29077
46	1420	28812
47	1439	28543
48	1456	28263
49	1476	28062
50	1500	27920
51	1529	27891
52	1555	27793
53	1574	27591
54	54	1651	28378
55	1668	28131
56	1699	28119
57	1729	28089
58	1771	28254
59	1786	27983
60	1816	27960
61	1838	27822
62	1904	28320
63	1930	28232
64	1962	28232
65	1989	28151
66	2007	27959
67	2022	27716
68	2041	27546
69	2052	27269
70	2064	27009
71	2080	26815
72	2094	26598
73	2101	26302
74	2169	26763
75	2180	26504
76	2194	26307
77	2209	26114
78	2217	25848
79	2226	25601
80	2244	25470
81	2253	25231
82	2265	25025
83	2290	24981
84	2315	24927
85	2329	24755
86	2349	24653
87	2369	24557
88	2395	24521
89	2407	24345
90	2423	24203
91	2448	24167
92	2478	24172
93	2493	24028
94	2510	23913
95	2525	23782
96	2538	23633
97	2547	23443
98	2572	23410
99	2589	23305
100	2613	23258
101	2640	23250
102	2656	23138
103	2676	23061
104	2694	22968
105	2711	22868
106	2726	22753
107	2735	22596
108	2802	22908
109	2808	22724
110	2814	22544
111	2828	22426
112	2839	22291
113	2855	22189
114	2866	22060
115	2887	22007
116	2902	21902
117	2908	21736
118	2919	21615
119	2927	21467
120	2936	21330
121	2943	21185
122	2953	21062
123	2964	20944
124	2972	20808
125	2986	20713
126	2997	20604
127	3004	20471
128	3015	20362
129	3028	20267
130	3041	20175
131	3052	20074
132	3066	19988
133	3080	19910
134	3096	19840
135	3105	19726
136	3112	19603
137	3118	19478
138	3124	19353
139	3137	19271
140	3148	19180
141	3162	19107
142	3188	19107
143	3194	18987
144	3202	18884
145	3210	18776
146	3235	18777
147	3251	18720
148	3266	18655
149	3285	18618
150	3293	18517
151	3306	18448
152	3315	18354
153	3323	18259
154	3332	18168
155	3347	18113
156	3353	18009
157	3361	17911
158	3372	17839
159	3381	17753
160	3394	17688
161	3410	17643
162	3425	17587
163	3433	17502
164	3447	17444
165	3461	17393
166	3473	17326
167	3486	17267
168	3501	17215
169	3513	17156
170	3528	17105
171	3538	17035
172	3555	16995
173	3564	16920
174	3577	16866
175	3591	168177176	3611	16793
177	3630	16767
178	3641	16702
179	3662	16685
180	3679	16648
181	3697	16617
182	3713	16580
183	3733	16558
184	3753	16537
185	3779	16539
186	3802	16531
187	3815	16478
188	3837	16467
189	3843	16387
190	3849	16305
191	3857	16231
192	3869	16178
193	3876	16107
194	3886	16043
195	3892	15968
196	3906	15923
197	3913	158199198	3921	157200	3857	15332
201	3881	15334
202	3910	15353
203	3930	15337
204	3953	15333
205	3975	15322
206	3984	15264
207	4002	15242
208	4020	15217
209	4038	15192
210	4053	15156
211	4076	15154
212	4093	15126
213	4115	15116
214	4142	15125
215	4155	15082
216	4165	15030
217	4179	14991
218	4192	14951
219	4208	14919
220	4226	14896
221	4240	14862
222	4251	14811
223	4268	14787
224	4278	14737
225	4291	14697
226	4304	14656
227	4319	14624
228	4336	14601
229	4351	14567
230	4366	14537
231	4381	14502
232	4401	14490
233	4417	14459
234	4429	14419
235	4444	14387
236	4463	14368
237	4477	14334
238	4491	14299
239	4501	14256
240	4515	14221
241	4526	14177
242	4539	14142
243	4554	14112
244	4569	14081
245	4581	14043
246	4594	14005
247	4609	13977
248	4622	13940
249	4631	13893
250	4640	13848
251	4653	13813
252	4673	13798
253	4680	13747
254	4687	13693
255	4700	13660
256	4715	13632
257	4726	13593
258	4742	13569
259	4750	13519
260	4756	13467
261	4761	13412
262	4767	13360
263	4776	13315
264	4781	13262
265	4787	13211
266	4794	13161
267	4801	13113
268	4806	13061
269	4812	13012
270	4818	12963
271	4826	12917
272	4832	12867
273	4844	12836
274	4857	12806
275	4863	12756
276	4878	12733
277	4894	12711
278	4899	12662
279	4910	12627
280	4919	12586
281280	5022	12850
281	5045	12847
282	5055	128283283	5063	127284	5023	12602
285	5040	12584
286	5060	12572
287	5078	12554
288	5099	12546
289	5146	12599
290	5156	12562
291	5174	12545
292	5193	12531
293	5213	12518
294	5228	12494
295	5242	12468
296	5256	12441
297	5272	12420
298	5290	12403
299	5303	12374
300	5319	12353
301	5335	12332
302	5350	12308
303	5365	12285
304	5380	12260
305	5397	12240
306	5411	12215
307	5426	12191
308	5438	12161
309	5454	12139
310	5468	12116
311	5482	12089
312	5496	12064
313	5512	12043
314	5526	12018
315	5542	11996
316	5561	11981
317	5584	11976
318	5602	11959
319	5617	11936
320	5640	11930
321	5661	11921
322	5682	11909
323	5694	11880
324	5708	11855
325	5720	11827
326	5735	11804
327	5749	11780
328	5765	11759
329	5779	11734
330	5805	11734
331	5816	11702
332	5831	11680
333333	5894	117334334	5916	117335335	5937	11733
336	5956	11718
337	5974	11701
338	5984	11669
339	6012	11671
340	6032	11658
341	6044	11630
342	6054	11597
343	6068	11572
344	6082	11547
345	6095	11522
346	6127	11531
347	6133	11490
348	6178	11524
349	6191	11498
350	6204	11471
351	6220	11451
352	6241	11440
353	6253	11411
354	6267	11386
355	6311	11417
356	6329	11400
357	6351	11389
358	6375	11383
359	6393	11365
360	6418	11361
361	6436	11344
362	6468	11351
363	6481	11324
364	6495	11301
365	6507	11272
366	6525	11254
367	6552	11252
368	6571	11237
369	6585	11213
370	6600	11190
371	6613	11163
372	6636	11155
373	6650	11132
374	6665	11109
375	6673	11075
376	6704	11079
377	6715	11050
378	6732	11030
379	6747	11009
380	6762	10987
381	6781	10970
382	6804	10961
383	6822	10944
384	6839	10925
385	6853	10902
386	6867	10877
387	6886	10861
388	6901	10840
389	6917	10820
390	6941	10811
391	6951	10781
392	6959	10748
393	6967	10717
394	6979	10689
395	6997	10673
396	7008	10645
397	7029	10633
398	7044	10611
399	7059	10589
400	7078	10573
401	7094	10553
402	7109	10532
403	7126	10512
404	7143	10494
405	7159	10474
406	7173	10451
407	7187	10428
408	7210	10419
409	7226	10399
410	7242	10379
411	7259	10361
412	7277	10344
413	7302	10336
414	7320	10319
415	7335	10298
416	7348	10274
417	7375	10269
418	7405	10268
419	7429	10259
420	7458	10257
421	7479	10244
422	7498	10228
423	7508	10200
424	7531	10190
425	7545	10166
426	7558	10143
427	7573	10121
428	7589	10101
429	7605	10082
430	7619	10059
431	7635	10038
432	7650	10018
433	7663	9994
434	7680	9976
435	7697	9957
436	7712	9936
437	7726	9913
438	7743	9894
439	7758	9874
440	7770	9850
441	7785	9828
442	7800	9807
443	7811	9782
444	7824	9758
445	7837	9735
446	7851	9713
447	7862	9688
448	7876	9666
449	7888	9641
450	7902	9619
451	7918	9600
452	7934	9581
453	7953	9565
454	7967	9543
455	7975	9514
456	7982	9485
457	7992	9458
458	8001	9430
459	8010	9403
460	8025	9383
461	8040	9362
462	8055	9343
463	8067	9319
464	8083	9299
465	8097	9278
466	8109	9255
467	8124	9235
468	8140	9217
469	8155	9197
470	8171	9178
471	8182	9153
472	8197	9133
473	8212	9113
474	8226	9092
475	8241	9072
476	8256	9052
477	8271	9032
478	8288	9015
479	8301	8993
480	8315	8972
481	8330	8952
482	8345	8933
483	8361	8914
484	8378	8896
485	8392	8876
486	8404	8853
487	8421	8835
488	8436	8816
489	8454	8799
490	8464	8774
491	8472	8748
492	8491	8732
493	8499	8706
494	8507	8679
495	8524	8661
496	8533	8636
497	8541	8610
498	8557	8591
499	8565	8565
500	8573	8538
501	8582	8513
502	8597	8494
503	8605	8468
504	8612	8442
505	8630	8425
506	8638	8400
507	8646	8373
508	8652	8346
509	8660	8320
510	8667	8294
511	8676	8270
512	8683	8243
513	8691	8217
514	8698	8191
515	8706	8166
516	8712	8139
517	8718	8112
518	8726	8087
519	8732	8060
520	8741	8036
521	8748	8011
522	8758	7987
523	8774	7971
524	8787	7950
525	8802	7931
526	8816	7913
527	8831	7894
528	8843	7873
529	8852	7849
530	8859	7825
531	8876	7808
532	8884	7784
533	8890	7758
534	8898	7734
535	8914	7717
536	8922	7692
537	8929	7668
538	8938	7644
539	8953	7626
540	8960	7602
541	8969	7579
542	8986	7563
543	8994	7539
544	9003	7516
545	9012	7493
546	9022	7472
547	9030	7448
548	9037	7424
549	9044	7399
550	9056	7380
551	9064	7356
552	9070	7331
553	9076	7306
554	9083	7282
555	9089	7258
556	9096	7234
557	9101	7209
558	9107	7185
559	9114	7161
560	9124	7140
561	9131	7116
562	9139	7094
563	9145	7069
564	9151	7045
565	9158	7022
566	9166	7000
567	9175	6978
568	9181	6954
569	9189	6932
570	9196	6909
571	9204	6887
572	9212	6864
573	9217	6841
574	9227	6820
575	9234	6797
576	9240	6774
577	9247	6751
578	9252	6727
579	9258	6704
580	9267	6683
581	9273	6660
582	9280	6638
583	9287	6615
584	9293	6592
585	9300	6570
586	9305	6547
587	9313	6525
588	9319	6503
589	9334	6487
